"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-497H16.8",45.9188752621794,-5.41347819953916,0.735149557607209,-7.36377808232537,1.78776805048009e-13,1.58785001590287e-12
"SMOC1",166.510519613115,6.18215292335293,0.83970002326254,7.36233506262513,1.80720656457309e-13,1.60450076322159e-12
"PRELID2",60.3986501345206,9.21499081233521,1.25166081581583,7.36221082892084,1.80888975768489e-13,1.60538101324478e-12
"VSIG10L",221.019414594003,-2.39201779527269,0.324910452685472,-7.36208323093954,1.81062013540235e-13,1.60630245039823e-12
"SERF1B",575.883217527325,-1.36015650164319,0.184815996771444,-7.35951717061186,1.84576615690479e-13,1.63685674319627e-12
"VGLL1",110.286630402245,10.0833802893899,1.37014110388798,7.35937361544504,1.84775203419351e-13,1.63799194841722e-12
"RP11-137H2.6",81.1351230816285,7.22220234187757,0.981427273753557,7.3588767451465,1.85464173347058e-13,1.6434717583194e-12
"AC004381.6",525.691544693107,-1.72018649132478,0.233800286069682,-7.35750379198465,1.87381086070759e-13,1.65982452119472e-12
"CCL20",148.124464779934,10.5085969545095,1.42898209605919,7.35390386169977,1.9250021106706e-13,1.70451922870825e-12
"IGSF9B",74.0087715378272,-6.66453163846401,0.906360059735521,-7.35307295028948,1.93701149556375e-13,1.71449896220609e-12
"CADM1",236.911444793631,-2.69493258197363,0.366508077118915,-7.35299642823217,1.93812118373559e-13,1.7148271609659e-12
"WDFY2",1059.82091477203,2.34960378817019,0.319584529380452,7.35205734997608,1.95179023868284e-13,1.72626325683503e-12
"SMARCC1",4928.1080243533,1.00192748984644,0.136287823349645,7.35155544509657,1.95913466792309e-13,1.73209894754892e-12
"LRRFIP2",2149.88052238626,1.32188596973217,0.179832592932241,7.35064733360232,1.9724922309541e-13,1.74324446671679e-12
"KCNC3",163.838826581962,-5.32054576027683,0.724120186505481,-7.34760038378871,2.0179673638023e-13,1.78275548454982e-12
"PRDM11",92.5895811121114,2.35810485267364,0.320993774070549,7.34626352022444,2.03824341598796e-13,1.79998299841129e-12
"RRNAD1",832.694502029841,-1.32481134601189,0.180364210235383,-7.3452008260561,2.05450383901716e-13,1.81365253312706e-12
"KAL1",73.1929522824008,9.49115890915037,1.29240012288179,7.34382389873736,2.07576203584035e-13,1.83172187558109e-12
"NOVA1",45.6765348396139,-4.27954118940975,0.583087184550012,-7.3394533490089,2.14468000291658e-13,1.89181807326827e-12
"EIF4E3",369.851878136691,-1.35951243225214,0.185257814563515,-7.33848898873867,2.16018678785233e-13,1.90477260533726e-12
"CD47",2500.1891800361,1.55715299220179,0.212202086162334,7.33806637042471,2.16701709579887e-13,1.91006960726548e-12
"SEC24B",1648.38916835398,1.07424158374151,0.146421441024233,7.33664124753233,2.19020653385326e-13,1.92977650864337e-12
"PDK3",405.514402612057,-1.16738096891637,0.15912311327183,-7.33633816554436,2.19516959406507e-13,1.93341540565701e-12
"CIC",2100.99612398608,1.58073701068303,0.21548047807263,7.33587109524708,2.20283965269329e-13,1.93943485051995e-12
"ACCS",65.1802830898416,9.32368043472215,1.27110986283677,7.3350704823533,2.21604831292472e-13,1.95032420350234e-12
"POLR3C",800.742661145692,1.18981442826334,0.162213199737751,7.33488045477744,2.21919483044527e-13,1.95235305629166e-12
"PDHB",2612.35306972149,-1.19835365743096,0.163419285778815,-7.3330002130404,2.25056578885169e-13,1.97920162287495e-12
"FAM83H",5599.03704338484,0.963530693962134,0.13140498118166,7.33252792472234,2.25851390760014e-13,1.98543904422667e-12
"PHYHIPL",81.8094494417276,6.54574628211234,0.892793603223773,7.33175759601818,2.27153693937455e-13,1.9961313627037e-12
"FAM171B",59.8299982644443,9.20132473343375,1.25614081196942,7.32507426377432,2.38766454408704e-13,2.09738526643346e-12
"UBA7",308.801781311361,2.55319429316473,0.348605822377921,7.32401506018689,2.40659661500319e-13,2.11321582447953e-12
"RAB24",720.159997263583,-1.41780660881496,0.193650297215473,-7.32147912604222,2.4525247792945e-13,2.1527305248815e-12
"SHROOM4",73.078302908004,5.58062518153304,0.762251576776418,7.32123796336855,2.4569370344637e-13,2.15578807923756e-12
"ZNF816",171.746617176652,2.37680990592415,0.324735250047825,7.3192236000684,2.49409720724057e-13,2.18756643936656e-12
"CNEP1R1",337.292178690551,1.51954751764044,0.207663561781014,7.31735266701646,2.52910564753337e-13,2.21743422243878e-12
"ATRN",2659.16958733421,1.69889806319135,0.232206163307104,7.31633492839065,2.54835155956455e-13,2.23346461459117e-12
"ADCY7",417.57170737843,3.13090254374086,0.427970737532654,7.31569303497526,2.56056396726057e-13,2.24295066000853e-12
"SULT2B1",287.814847466709,-2.19784872538829,0.300430496912497,-7.31566451467286,2.56110791495286e-13,2.24295066000853e-12
"MIR29B1",168.956029139167,3.95104370716534,0.540132619184007,7.31495111910532,2.57475099617186e-13,2.25404832588293e-12
"CYP4F43P",48.9407602433901,-9.21912541502737,1.2604523639724,-7.31414028688296,2.59034416230926e-13,2.26684416737833e-12
"C9orf172",57.0377981462851,-4.72201841371794,0.645690845834157,-7.31312584680931,2.60998359854115e-13,2.28316997191643e-12
"CORO2B",61.1815236582689,9.23229077353745,1.26258766939842,7.3121977960836,2.62807861190671e-13,2.29813294744277e-12
"DUSP6",3718.38971544532,9.16520803148682,1.2542285702837,7.30744638468384,2.72266904985261e-13,2.37995116041354e-12
"NUDT16",1626.90328226906,-1.1044387986986,0.151184006000356,-7.30526216308885,2.76726657631534e-13,2.41802419815988e-12
"C18orf25",1162.39706093955,1.09257163551567,0.149584822359061,7.30402736243572,2.79279545145892e-13,2.43941275263299e-12
"RHOD",1354.17803429037,1.7255791713106,0.236307570480155,7.30225937241193,2.82975091396472e-13,2.47076219756559e-12
"RRP7A",3073.51780204966,1.20525902934154,0.165092446318924,7.30050984291086,2.86679318898164e-13,2.50216383339172e-12
"USP18",295.558616555123,-1.53823431093347,0.210715833189336,-7.30004142380373,2.87679145137383e-13,2.50994646629638e-12
"SLC9A3R1",3477.74878612994,-1.24043657699011,0.169947558839186,-7.29893730432388,2.90049425151159e-13,2.52967570796997e-12
"GPR132",87.115021164329,7.32707224119445,1.00425826874984,7.29600389580626,2.96440324374054e-13,2.58444291813413e-12
"THEM4",1074.60000102226,-1.24020545126828,0.170033880296066,-7.29387254533519,3.01170364228745e-13,2.62379456294653e-12
"RP11-382M14.1",49.8532079155738,-9.24513619879731,1.2675217015497,-7.29386817400762,3.01180141144845e-13,2.62379456294653e-12
"YPEL2",208.489507854391,-1.88754868466197,0.259043991433722,-7.28659512314884,3.17886372838633e-13,2.76829528736923e-12
"CCDC64B",248.380122588942,-2.19608426579913,0.301400080000185,-7.28627632015817,3.18639120867576e-13,2.77380972134085e-12
"RP11-448A19.1",124.249361937394,-2.4034270053634,0.329899280567071,-7.28533569770781,3.20870307668921e-13,2.79218526448456e-12
"SLAMF7",69.6889409340498,9.4203973634598,1.29323017215585,7.28439342530628,3.23120790933051e-13,2.81071488604732e-12
"MUC1",114.766316680589,3.16974706796965,0.435202158923377,7.28339003604925,3.25534286408171e-13,2.83064807754246e-12
"CHRNA7",49.9268001161535,-9.25057922047987,1.27013463426687,-7.28314855048367,3.26117780188318e-13,2.83465971633351e-12
"ARHGDIB",1662.09719428665,10.1652956847307,1.39578060258781,7.28287502053263,3.26779942505274e-13,2.8393518927976e-12
"HMG20B",2553.78640202576,-1.29485619822564,0.177821590849753,-7.28177153313011,3.29464703690101e-13,2.86160810001492e-12
"DUSP27",46.8373922113063,-9.15783692919877,1.25864227398869,-7.27596483802919,3.43953176284788e-13,2.98633195481383e-12
"RP11-776H12.1",75.8879528492992,6.74697996861896,0.927501720093372,7.27435844317328,3.48070648135106e-13,3.02095123482406e-12
"MERTK",76.5385215304279,-2.80595804442844,0.385809512080374,-7.27291048190612,3.51823483661943e-13,3.05238108741172e-12
"ABCA2",3051.11616739366,-2.95275984939887,0.406038580525865,-7.27211647123463,3.53898246008323e-13,3.06923411560582e-12
"GGACT",66.4339783426475,3.90967810887093,0.537764841455259,7.27023748575837,3.58856045831764e-13,3.11106877536929e-12
"PLEKHD1",48.8567157943443,-9.22155102463958,1.26845172901241,-7.26992664657352,3.59682760020779e-13,3.11707150655797e-12
"NUCB1",3305.07948694065,1.56560382672627,0.215444502954566,7.26685436507253,3.67955124015849e-13,3.18757092876439e-12
"RPL18",13878.6656293282,1.09199292986687,0.150333737667563,7.2637915268336,3.76387961130868e-13,3.25940738877805e-12
"GLG1",5036.13722519814,1.42480369730753,0.196172820067411,7.26300257506581,3.78590724512943e-13,3.2772598039897e-12
"BTBD10",1527.7014123679,1.26699576246121,0.174494366882289,7.26095509613733,3.8436654164562e-13,3.32601741182385e-12
"IFNWP19",71.7119932308664,9.46207530904775,1.30325255357942,7.26035432124026,3.8607765146937e-13,3.33957888009733e-12
"IL13RA2",59.1482105845725,9.18365541715821,1.26511075698482,7.25917107767382,3.89469635486155e-13,3.36766441891307e-12
"PLCD1",680.125484871138,2.33932332802013,0.322337792969119,7.25736596528801,3.94700772562113e-13,3.41162589557598e-12
"RP11-420L9.5",57.7789336352362,6.73035220039217,0.927399551102263,7.25723038402682,3.95096455242958e-13,3.41377458424369e-12
"C12orf5",860.129842543441,1.42702251949936,0.19668553024983,7.25535080128543,4.00622158857674e-13,3.46023039180086e-12
"GPR137",813.570349894126,-1.0938538092086,0.150774477284525,-7.25490035786626,4.01957629547926e-13,3.47047346225754e-12
"PACS1",1939.26471759886,1.90698797236931,0.262857002535416,7.25484941993269,4.02108924740282e-13,3.4704886297406e-12
"IFNE",97.1078610716693,9.899421053152,1.36458554676369,7.25452579842275,4.030714482475e-13,3.47750266577248e-12
"UBA2",2908.24831581756,0.938267213977049,0.129343602058173,7.2540674532557,4.04438542779847e-13,3.48800063204559e-12
"PGM1",2132.0381713723,0.949942203693463,0.13100316093543,7.25129223531999,4.12813895060917e-13,3.55787333219374e-12
"COX7B2",50.2594182976148,-9.25765600201817,1.27669242397765,-7.25128138003289,4.12846987400799e-13,3.55787333219374e-12
"BCOR",1461.5525691014,-1.13002083166574,0.15584787477502,-7.25079397647881,4.14335524346872e-13,3.56937596475211e-12
"BMP2K",653.268028325842,1.56970545792974,0.216500410489635,7.25035788329322,4.15671825126678e-13,3.57955907886455e-12
"ERI2",1273.75852181049,-0.806419219114087,0.111240038618861,-7.24936119338381,4.18741846899058e-13,3.60465904407765e-12
"WBP4",493.06971613783,1.26538644159205,0.17457018109311,7.24858296914484,4.21154416430555e-13,3.62408294272166e-12
"SLC6A14",80.8470569999504,9.63440758581064,1.32945628329743,7.24687807102206,4.26487568868707e-13,3.66861508462007e-12
"RASSF9",69.882623156397,9.42446422865519,1.30083036466615,7.2449602074548,4.32566187136186e-13,3.71952429457451e-12
"OXSR1",3143.40098749948,0.862155145358483,0.119015394168309,7.24406410938106,4.35435429081611e-13,3.74280942152816e-12
"PTTG1IP",4856.24831151743,0.867830688701776,0.119857235659427,7.24053649266287,4.46913313706359e-13,3.84004597722962e-12
"CABLES2",422.025681977128,-1.52589406816025,0.210790256131382,-7.23892126782742,4.52267465983924e-13,3.88461263899146e-12
"CLCC1",1301.03479778993,-1.01015810061171,0.139586249367043,-7.23680237267132,4.59386786671182e-13,3.94430208844424e-12
"MIR31HG",85.1382434176058,9.70960855042793,1.34216642322464,7.23428062452938,4.68003169311267e-13,4.01679643246149e-12
"CSAD",879.360831728285,-1.45281554525962,0.200870815309788,-7.23258649106918,4.73880641446072e-13,4.06573823537169e-12
"GPX1",6859.79040156161,1.36696133205288,0.189020773591662,7.23180476980749,4.76617052442047e-13,4.08770456506837e-12
"EFNA4",448.302425946268,-1.36020263759344,0.188130704860944,-7.23009377229956,4.82660646497899e-13,4.13648016393029e-12
"FGL1",50.9826548328716,-9.27750711104685,1.28317364452885,-7.23012598536757,4.82546171373578e-13,4.13648016393029e-12
"SERF1A",562.882051968456,-1.36856193050272,0.189298771655423,-7.22963978336786,4.84276819370869e-13,4.14879897525254e-12
"DEFB132",98.1622218132969,-6.99499069929962,0.967652101412891,-7.22882809750123,4.87179624659405e-13,4.17212720630829e-12
"CIB2",96.0504334371505,5.08965044730679,0.704097991528929,7.22861094413118,4.87959115382249e-13,4.17726121349732e-12
"RP11-817O13.8",93.0150833379935,-2.23097926321664,0.308681880674153,-7.22743835285777,4.9218943945432e-13,4.21192201727724e-12
"TBCEL",875.449416526053,-0.979354786847351,0.135520407836415,-7.22662219279565,4.9515510986274e-13,4.23573895676169e-12
"ACOT1",309.772031205941,-2.29981631022444,0.318299925853903,-7.22531211421028,4.9995224982088e-13,4.27519963664074e-12
"BEX5",75.0801842013241,-4.90067343138833,0.678543445444157,-7.22234289387392,5.1099424852516e-13,4.36801271446479e-12
"RP11-461A8.4",67.7945863294307,-3.70176979546357,0.512637636516509,-7.22102618258376,5.15967166843485e-13,4.40889764657718e-12
"PPP1R3E",284.778883147304,-2.07611489135368,0.287673086627003,-7.21692430701928,5.31765558293866e-13,4.54222122815018e-12
"BTBD7",1992.2871518326,1.1969338492916,0.165897223418454,7.21491188717781,5.39689107900342e-13,4.60820633412478e-12
"FAM214A",1270.16710280932,-1.82235737193744,0.252586324319545,-7.21479033691462,5.40171385256528e-13,4.61062799155333e-12
"MARCKS",3142.31483042966,1.20393591447592,0.166904902987094,7.21330465989378,5.46100437508271e-13,4.65952167415145e-12
"SMPD1",910.19014144411,-1.5822931402186,0.219387467296691,-7.2123223797409,5.50055568240326e-13,4.69154341334858e-12
"BARX2",158.926160956319,1.95173944874667,0.270744301403473,7.20879234993803,5.64502669603494e-13,4.81299704487799e-12
"ITPKC",1100.60952573231,1.89273364697799,0.262687598060399,7.20526458406611,5.79312501678489e-13,4.93745300732808e-12
"HMG20A",952.707680146267,1.15902056437746,0.160899213509735,7.20339484013288,5.873158129501e-13,5.00382723456164e-12
"COL9A3",49.0815528262235,-9.22290048814835,1.28044681557336,-7.20287666459502,5.89552972003391e-13,5.02104417403842e-12
"AC016735.2",72.0239015770138,9.46849426164884,1.31468120703348,7.20212186117277,5.92826719079065e-13,5.04707354966505e-12
"LRP8",1464.30777973893,1.3147787580924,0.182567646148668,7.20159779582061,5.95110195359339e-13,5.06465618404823e-12
"ACO1",1901.13420215716,0.930192992887083,0.129209726826889,7.19909418377861,6.06138734297324e-13,5.15662307389013e-12
"MMP10",254.26131122242,6.07984222745588,0.844906737242798,7.19587376862014,6.20620266631456e-13,5.27788755880646e-12
"DERA",968.314967787998,1.09808815234137,0.152600827681122,7.19582042265168,6.2086298953172e-13,5.27793918887654e-12
"SSPN",54.7959935500404,9.07374624710601,1.26098292624624,7.19577248687833,6.21081175664505e-13,5.27793918887654e-12
"RPL22L1",7135.19279330409,-1.42427485570827,0.197946802555421,-7.19524052584534,6.23507526419856e-13,5.29661884083163e-12
"RAB12",1115.37402778164,1.39978324672475,0.194565231803702,7.19441615415134,6.27285999624523e-13,5.32676673226708e-12
"ZNF555",91.0259109098269,3.08126900143686,0.428406453624993,7.19239632214798,6.36639083144066e-13,5.40421354850310e-12
"ERLEC1",1194.82221271045,1.1961569437272,0.166424565745538,7.18738209331494,6.60453927488377e-13,5.60431983515549e-12
"CA12",3650.78418752165,2.22081884246688,0.309039323743632,7.18620146965243,6.66187205673004e-13,5.65090375338416e-12
"ZNF32",836.639553173465,-1.51888822692571,0.211364825596088,-7.1860974154151,6.66694844465786e-13,5.653143569734e-12
"UCHL3",1380.9451250879,1.35394579751378,0.18848544283562,7.18329106558417,6.80530034594843e-13,5.76834954086089e-12
"ANXA11",4844.71655894436,1.07985491170179,0.150334493973178,7.18301491003424,6.8190660544513e-13,5.7779074476709e-12
"KRT16",2477.56451674635,11.8845602517583,1.65470128148442,7.18229953934452,6.85485285436303e-13,5.80611040306778e-12
"BCL2L11",697.61026341841,-2.3161608320333,0.322628004069719,-7.17904460498344,7.02002423118213e-13,5.94384247928766e-12
"ODAM",56.9594640473289,-9.43566143504281,1.3148355544274,-7.17630535869707,7.1620494135996e-13,6.06188339864404e-12
"NXF2",53.2124015400727,-6.87290872374847,0.95779740549909,-7.17574372647953,7.1915155988005e-13,6.08460422956479e-12
"TERT",51.5630478401494,-9.30004745650573,1.2960631581393,-7.17561285351048,7.19839896154432e-13,6.08820856776679e-12
"CCDC110",43.9379466665138,-9.06564941091266,1.26394491149105,-7.17250358658281,7.36384854166704e-13,6.22587238451762e-12
"ST6GALNAC5",131.116172719573,9.36937273247861,1.3063504220783,7.17217415337357,7.38159544432466e-13,6.23860404486113e-12
"ABCC6P1",50.1429467760209,-9.25284523816818,1.29030423409893,-7.17105702178046,7.44208959838546e-13,6.28744140514487e-12
"LSS",5377.90580290842,1.23969956524255,0.17288129384076,7.1708137861603,7.45532550085526e-13,6.29633166753453e-12
"KAT6B",952.245108229625,-1.19514555984852,0.166670610038292,-7.17070369859415,7.46132361575855e-13,6.29910507364585e-12
"CLDN15",242.625582440743,-1.74028667495126,0.242703159453558,-7.1704327165311,7.47610824612729e-13,6.30929164276808e-12
"FRAT2",703.259253709392,-2.22183332448415,0.309882026852834,-7.16993285170203,7.50345607775373e-13,6.33006938031656e-12
"CTC-203F4.2",43.9963825922841,-3.43841773662551,0.479564114015592,-7.16988122366829,7.50628625950567e-13,6.33015594151917e-12
"IGSF5",50.6551173979151,-6.10270368698118,0.85124926055306,-7.16911481722314,7.54842310359609e-13,6.363378256021e-12
"BCAP29",1774.57132543309,1.03168031060171,0.143918380840316,7.16850971069778,7.58185566193197e-13,6.38924132905291e-12
"BRD9",1502.88312802817,1.02417098965218,0.142884285547802,7.16783504725961,7.61930267174004e-13,6.41846738314856e-12
"RP11-44F14.8",56.1785836749512,-3.37786471513812,0.471286417434618,-7.16732880511399,7.64752066644036e-13,6.43990056700827e-12
"VANGL2",416.303058534621,3.43162740338351,0.478873812195708,7.16603688902718,7.71999795838924e-13,6.49857499522298e-12
"LL22NC03-N64E9.1",78.253535402146,-7.04622274072443,0.983503081325351,-7.16441348737726,7.81202828106078e-13,6.57366034615151e-12
"ENHO",106.161738717234,-6.41301216063976,0.89538402418179,-7.16230353395017,7.93325196758063e-13,6.67324797620918e-12
"SIK3",920.331381119088,1.09617157758911,0.15305876050427,7.16176959736017,7.96421993550273e-13,6.69687015446186e-12
"SPESP1",60.9811726239294,9.22845446806387,1.2887491483163,7.16078414493659,8.0216874169806e-13,6.74274978534176e-12
"AP000473.8",78.5615942742367,-9.90591836402462,1.38362374900468,-7.15940180352538,8.10298626889999e-13,6.80862075773465e-12
"NCF2",95.964390755495,6.27417731771217,0.876370115660604,7.15927803286939,8.11030484569286e-13,6.81230383130076e-12
"TRAF1",94.3111009854241,6.76327581200422,0.944910890121265,7.15758055358665,8.21133411714193e-13,6.89466867549313e-12
"ZNF84",653.102213488439,-1.29003071212761,0.180244557434786,-7.15711326037877,8.2393622731213e-13,6.91570052928026e-12
"MAPK1",4532.10847713633,0.775788025805033,0.108420376796792,7.15537105408754,8.34468956772448e-13,7.0015746741775e-12
"ASPSCR1",647.655835729563,-1.04791310254411,0.146524259033291,-7.15180618866682,8.56434336206924e-13,7.18327722251185e-12
"DLL3",93.6543460460513,-2.36667241843332,0.330931406123458,-7.15154976119251,8.5803604581932e-13,7.19411147087239e-12
"LINC00958",373.182433926686,11.841746354655,1.65603789889129,7.15064936773669,8.6368344732251e-13,7.23884631472041e-12
"SCN9A",72.1085159874403,9.46965724061741,1.3245094176319,7.14955825497134,8.70575976204510e-13,7.29398095875606e-12
"LAMC3",53.1687675919834,-9.34024668904972,1.3070318092841,-7.14615101384994,8.92448778589302e-13,7.47454032966457e-12
"GNB5",755.444669439584,1.46148380114165,0.204551742385648,7.14481228121865,9.01189588763212e-13,7.54459509471127e-12
"ABHD14A",293.076633877391,-1.62848482841678,0.227926819519962,-7.14477055331417,9.01463383214166e-13,7.54459509471127e-12
"C19orf57",60.870682560405,-3.2613879844789,0.456495331301728,-7.14440600121545,9.03858838733827e-13,7.56191634078394e-12
"CHMP4A",632.912431493405,1.74945439475153,0.245005524276545,7.14046917887809,9.30128864426819e-13,7.7788939407631e-12
"ADAM9",12212.1402564994,1.43983893355173,0.201646683436704,7.1404047367022,9.30565054511212e-13,7.77973839520757e-12
"TUBA3E",79.8766871572988,-8.0750294597051,1.13127552698151,-7.13798651797145,9.47079178979988e-13,7.91494907661777e-12
"VAMP3",3605.62520071537,1.15215546412723,0.161414881286334,7.13785157195898,9.48009156529721e-13,7.91986915217487e-12
"ITGA1",235.058916614955,2.37031766590491,0.332221850300788,7.13474343652853,9.69678571794766e-13,8.09798499251995e-12
"PCYOX1L",1176.33089248417,-1.34954961817698,0.189195420581602,-7.13309875063758,9.81340968627816e-13,8.19243208630012e-12
"UBE2D3",8267.12522103913,0.865964832267988,0.121424911471465,7.13169004427475,9.9143940681086e-13,8.27375970991242e-12
"RNF165",161.920227595992,3.38411061307327,0.474607691817159,7.13033242279813,1.00126811233941e-12,8.35277870279406e-12
"CDH26",248.430031688794,-4.1836682871994,0.587361785207486,-7.12281321761768,1.0574608433296e-12,8.81837989651218e-12
"ZBTB7B",3205.84674358902,-1.37029298867095,0.19238954118002,-7.12249210776359,1.05992824961116e-12,8.83578118425852e-12
"RP11-696N14.1",195.992190629112,2.49151838415116,0.350034563972284,7.11792103007417,1.09567113479214e-12,9.13046165036123e-12
"VIMP",1208.39530421235,0.952242072118503,0.133881200019942,7.11258990789346,1.13885297722354e-12,9.48689874206886e-12
"KIAA1841",385.214189753955,1.42185652869006,0.199929286746366,7.11179713502329,1.14541542848827e-12,9.53814182431139e-12
"RP11-435B5.4",76.9265949712327,-2.9197899131384,0.410601851439788,-7.11100035935072,1.15204840002406e-12,9.58993517494922e-12
"COLGALT2",45.1841513749281,-9.10672224121477,1.28079962587575,-7.11018496354419,1.15887540117004e-12,9.64330595566668e-12
"NEXN",142.912822085085,5.05427881217312,0.711019045382755,7.10849989883507,1.17310984556183e-12,9.75825566157665e-12
"LL22NC03-N14H11.1",40.5852777778844,-4.00991611889884,0.564141580534738,-7.10799603726767,1.17739939620828e-12,9.79042822902251e-12
"TMEM255B",61.2630877377656,9.23404864946697,1.29951557797676,7.10576218243079,1.19660310517021e-12,9.94654902034038e-12
"KDELR1",4622.61001090385,1.24067095521757,0.174628577616779,7.10462727320729,1.20647694706344e-12,1.00250329349976e-11
"PID1",49.8384659307936,8.93773602764483,1.25802987115337,7.10454992571097,1.20715278168284e-12,1.00270586103419e-11
"FOXD4",90.2658197692722,-4.96742367305401,0.699263909741171,-7.1037895762312,1.2138162486852e-12,1.00788005364888e-11
"CACNG4",56.7197357276916,-9.43758380881856,1.3294772944097,-7.09871755501392,1.2591984979217e-12,1.045188796129e-11
"CTF1",74.4943410456143,6.03892062228879,0.85078975312968,7.09801757728541,1.26559091821032e-12,1.05011920020827e-11
"MAP4K1",63.5487054310134,-4.9183885437767,0.69305787575642,-7.09664909068186,1.27818049017358e-12,1.06018630507321e-11
"HKDC1",49.7325140507731,8.93355459155089,1.25948179955832,7.09303984756565,1.31197659684855e-12,1.08782968416082e-11
"SECTM1",258.158050629456,-1.91621450873731,0.270222040407605,-7.0912591210061,1.32897238544316e-12,1.10152825433446e-11
"BIRC3",282.356897053926,2.55202241731974,0.359906388132978,7.09079499966201,1.3334374718979e-12,1.10444028721651e-11
"TLL1",95.4723680123132,9.87500730992068,1.39264607097699,7.09082337265563,1.33316408716767e-12,1.10444028721651e-11
"IQCG",260.905487244384,-1.41864512618316,0.20007929608635,-7.09041442034512,1.33710982201094e-12,1.10708686226293e-11
"TTR",84.3039878658875,-10.0025595671693,1.41101605338729,-7.08890557492746,1.35176713996189e-12,1.11882353010826e-11
"C6orf106",2973.6024937942,1.2159525591087,0.17156021652393,7.08761380549487,1.36444089598873e-12,1.12891067073464e-11
"PFKM",4754.05637713963,-1.02549141024619,0.144712332802353,-7.08641337187756,1.37632301605934e-12,1.13833587158607e-11
"SESN3",4747.8388670464,-2.22902032592836,0.314595814176927,-7.0853464206449,1.38696908181707e-12,1.14673239938762e-11
"RAB7A",8080.02427946898,0.829384272655536,0.117067746801609,7.08465222330677,1.39393914329395e-12,1.15208474492757e-11
"C3orf18",330.480899636968,-1.20688669182956,0.170379456706948,-7.08352236329407,1.40535701398396e-12,1.16110302965753e-11
"MRPS27",5882.95779334993,-1.04462413097299,0.147473426281135,-7.08347366244531,1.40585122084525e-12,1.16110302965753e-11
"SRCIN1",276.3677791375,-2.978747959878,0.420549379706098,-7.08299216125275,1.41074658871631e-12,1.16473165531583e-11
"SCD5",350.439917296084,4.16010990625641,0.587349607053733,7.08285126319294,1.41218224370476e-12,1.16550232972618e-11
"C1orf226",175.614255481662,-2.09058895516357,0.295193246696788,-7.08210292260158,1.41983138166164e-12,1.17139874531118e-11
"HNRNPUL1",6662.58965447665,1.40168741702816,0.197923459069963,7.08196705744056,1.42122447633063e-12,1.17213140180104e-11
"SNAPC1",797.145613482313,1.2282953497667,0.173500584989771,7.07948823249858,1.44687784734321e-12,1.19286469204764e-11
"ARMCX5",672.099928639396,-0.982015088086688,0.138742023417389,-7.07799312636817,1.46256977986927e-12,1.20537356005703e-11
"RP11-497H16.9",201.188810425297,-2.30200373028033,0.325248920334194,-7.07766755356179,1.46600891372182e-12,1.20777901560725e-11
"ARSA",880.768817454702,1.65457981883253,0.233876438534717,7.07458959610813,1.49891697142084e-12,1.23445227369535e-11
"TBC1D2B",1356.37728245977,1.25638286997971,0.177598176310384,7.0743005141222,1.5020446734921e-12,1.23658931473588e-11
"MARC2",373.794123726928,-1.73844413577414,0.245760558336658,-7.07373122660596,1.50822277167623e-12,1.24123525124333e-11
"RP11-54O7.16",46.7189470665308,-9.15740453677766,1.29500777175906,-7.07131241717474,1.53475167158358e-12,1.26262023375086e-11
"SYN2",51.9621637807296,-4.21207458017558,0.595957644428174,-7.06774150739705,1.57475531172176e-12,1.29507162560023e-11
"PCDHGC3",950.113041788433,2.3178990469423,0.328051091001595,7.06566480198364,1.59848850245097e-12,1.31412402284386e-11
"CDK18",848.315733650571,2.6906854129516,0.381070887393937,7.06085272310522,1.65483916228625e-12,1.35975822528966e-11
"SAR1B",3110.77995342335,-1.61445543558888,0.228649688179522,-7.06082500458652,1.65516933231786e-12,1.35975822528966e-11
"CD1D",56.1643312498019,9.10983072377648,1.29084215300473,7.05727706720089,1.69796860149383e-12,1.39442516997412e-11
"TRIP12",6896.39984449225,0.947301245941546,0.134253847308577,7.05604543134033,1.71307837985303e-12,1.40633615279905e-11
"TSC2",3325.95370539855,-1.14775437529201,0.162679097295605,-7.05532790857831,1.72194171401116e-12,1.41311256360576e-11
"B3GNT8",60.6670818745313,9.22011241571684,1.30687129975723,7.05510360310892,1.72472170790521e-12,1.41489365136317e-11
"AP000473.5",55.3809452438102,-9.40311688871716,1.3330134500636,-7.05403001617763,1.73808860098046e-12,1.42535548592065e-11
"LEPROT",1675.21792236699,1.38600760304316,0.1964974584095,7.05356503978145,1.74390936649063e-12,1.429623757595e-11
"CCDC106",551.270687267277,-1.97526552256829,0.28011156295063,-7.0517100463876,1.76732185856039e-12,1.44830528578636e-11
"CDCA4",1721.96542667453,1.84377954833738,0.26155962000331,7.04917505352717,1.79981612156795e-12,1.47441343273381e-11
"POF1B",204.957059741619,2.02000294788344,0.286622261824876,7.04761359087191,1.8201223250494e-12,1.49052219194589e-11
"DNAJC5",4298.73652502059,0.977313737672761,0.138777941807691,7.04228442173508,1.89113294202434e-12,1.54812745391538e-11
"PARD6A",142.641424723772,-3.30450803073025,0.469344221781875,-7.04069183633413,1.91287646884564e-12,1.56537507365901e-11
"HLA-K",48.5144909722928,8.89836971162526,1.26444684287922,7.03736164294828,1.95913906851631e-12,1.60266829404747e-11
"RP11-318A15.2",47.7692359051656,-3.9856438699791,0.566420158939473,-7.03655017759528,1.97057709275879e-12,1.61145712363446e-11
