"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD2",21221.3895781649,-3.40774969097465,0.136541724544733,-24.9575703129356,1.76726327509559e-137,6.51026128387595e-135
"KCNK6",971.335797625651,7.10313596312611,0.284693449452401,24.9501208292244,2.12893748758197e-137,7.72005956434411e-135
"ARHGAP23",1464.04431724106,7.7603644488286,0.311571157021651,24.9071978388851,6.21740093319598e-137,2.21989909011711e-134
"PLXNA2",1760.73641893465,5.32097310318368,0.214325584880965,24.8265885108346,4.62974436582659e-136,1.62798647336521e-133
"TPM2",2264.16245614553,7.64238968756241,0.309643503763172,24.681253101333,1.70030033073098e-134,5.88963732471711e-132
"PLP2",4253.14283175579,4.70854775202029,0.191187980494003,24.6278439672518,6.35818029559287e-134,2.17000953382528e-131
"SEMA7A",785.429847679732,4.51403838589716,0.183693901431025,24.5736976063527,2.41426074132126e-133,8.1203135195049e-131
"SIRPA",2286.25450061767,5.65101430286919,0.230389745796686,24.5280634488659,7.41573815366522e-133,2.45863501528946e-130
"ITGB8",696.968943775611,5.52340339645186,0.225479830209497,24.4962194237949,1.62073458915057e-132,5.29774765422627e-130
"PLEK2",2886.54448922979,6.21044510178028,0.253931508465715,24.4571661835293,4.22223203762464e-132,1.36096612679434e-129
"ANGPTL4",3222.422023779,7.29334953461642,0.29833475205795,24.4468654231731,5.43390554628504e-132,1.72753534134497e-129
"PPP1R18",2778.3476483521,6.37490629028698,0.261395515150507,24.3879711808231,2.29451694686367e-131,7.19610125713676e-129
"SLC25A33",2077.54505835184,-3.37291475449771,0.138838436567674,-24.2938111223519,2.27899014722538e-130,7.05210711157422e-128
"SLC12A4",1506.18863696326,6.07561477851361,0.250849310033537,24.2201773554862,1.3638431115612e-129,4.16474617540951e-127
"RAB34",1617.63493497946,8.60569281032799,0.355564243350185,24.2029196446857,2.07270146298267e-129,6.24717604583142e-127
"PHLDB2",2592.49415385383,3.96290527927798,0.164261691491015,24.1255599117872,1.34823643882078e-128,4.0115219579683e-126
"MPP2",967.241143629986,-5.54893059876775,0.231422970960526,-23.977440855317,4.78188666564749e-127,1.40478513590313e-124
"ITGB4",37168.7432351552,9.85015957754306,0.413703218603385,23.809724301387,2.64854194221256e-125,7.68342017435862e-123
"ALDH7A1",2906.92669751492,10.0483772541416,0.422164988829905,23.8020146625428,3.18313530409993e-125,9.12027211574705e-123
"SELENBP1",7629.43343987363,-7.45520105335614,0.314195354933411,-23.7279162033957,1.85769395785198e-124,5.25772699680837e-122
